x,y,which,b0,b1,b2
-11.125,13.625,s3: poly,3086.1113704002023,-313.33876629535,7.943873161053978
-11.125,13.875,s3: poly,3162.6037220609687,-318.31711254166163,7.998315317000552
-11.125,14.125,s3: poly,3069.146803454634,-308.825766077417,7.75702771712997
-11.125,14.375,s3: poly,3051.0817781177566,-305.54116381327896,7.636671023336018
-11.125,14.625,s3: poly,2807.044774562037,-280.23035532186043,6.981142533625915
-11.125,14.875,s3: poly,2626.2306456219035,-261.8524026925706,6.514315473596101
-11.125,15.125,s3: poly,2641.561885950168,-262.5953932306618,6.512288488814572
-11.125,15.375,s3: poly,2416.0169785761723,-239.52078184652902,5.923775545622396
-11.125,15.625,s3: poly,2137.943802806407,-212.56778030033033,5.272737347747193
-11.125,15.875,s3: poly,1985.740222655206,-197.3323247349032,4.89180040331108
-11.125,16.125,s3: poly,1789.564866457034,-177.22406421566063,4.378555560732637
-11.125,16.375,s3: poly,1709.377991739077,-168.82597880966276,4.159352680494557
-11.125,16.625,s3: poly,1609.9127784455306,-158.26643105533907,3.8792134051434517
-11.125,16.875,s3: poly,1353.8809616162443,-133.49642349791327,3.2824450131959546
-11.125,17.125,s3: poly,1097.3831091752143,-108.51365517965218,2.6768780941056525
-11.125,17.375,s3: poly,1002.8862300500159,-98.74468770816948,2.424743690541431
-11.125,17.625,s3: poly,1060.9179218964284,-103.87545804622515,2.535540591840465
-11.125,17.875,s3: poly,633.7907807410652,-63.14881472236707,1.5711694043059066
