model,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,isConv,finTol,NSE,R2_test,id,seed
poly,0.6381742537113578,0.6357859649569773,55.00150326233783,267.2098390702764,1.2961915350005058e-67,2,-1658.940107976697,3325.880215953394,3340.7745563612034,916625.1044184385,303,306,NA,NA,0.6071002836438009,0.6084493088894377,14_s2_m1_r3_Kayes_-11.375_14.375,1
step,0.6761680502086892,0.6685612594417792,52.46840422979152,88.89005507421903,3.469740164810697e-69,7,-1641.966590252926,3301.933180505852,3335.445446423423,820374.1658413998,298,306,NA,NA,0.6722806082580337,0.6826388075553279,14_s2_m1_r3_Kayes_-11.375_14.375,1
nls,NA,NA,56.016847588984454,NA,NA,NA,-1665.0415724364855,3336.083144872971,3347.253900178828,953917.7129974841,304,306,TRUE,9.575258088086534e-6,0.5629411229848273,0.5680281621973231,14_s2_m1_r3_Kayes_-11.375_14.375,1
lm,0.6983516911781573,0.6973594270044012,50.1371676413721,703.796135795829,4.1844089951831803e-81,1,-1631.1092651292256,3268.218530258451,3279.3892855643085,764175.6160461112,304,306,NA,NA,0.6820193395077441,0.6845027575223216,15_s3_m1_r3_Kayes_-11.375_14.375,1
poly,0.8082610406874144,0.8069954369955822,40.0387037831731,638.636759598318,2.141018533862017e-109,2,-1561.7808435527145,3131.561687105429,3146.4560275132385,485738.6335929139,303,306,NA,NA,0.7539431995945464,0.7583928289788605,15_s3_m1_r3_Kayes_-11.375_14.375,1
step,0.7625128229831336,0.7577471940128955,44.85704171865145,160.00255742633556,3.029811453563752e-90,6,-1594.5195954349103,3205.0391908698207,3234.8278716854397,601634.1033329023,299,306,NA,NA,0.7408483915934911,0.7425895101393326,15_s3_m1_r3_Kayes_-11.375_14.375,1
nls,NA,NA,41.535224293339695,NA,NA,NA,-1573.5137135636342,3153.0274271272683,3164.1981824331256,524453.156557803,304,306,TRUE,2.7133048164168482e-6,0.7036163031389824,0.7108026937020271,15_s3_m1_r3_Kayes_-11.375_14.375,1
lm,0.6843961419218161,0.6833681163254702,71.94163610948155,665.7384255358105,7.212092547961783e-79,1,-1758.6880073192729,3523.3760146385457,3534.576038469239,1588908.894875481,307,309,NA,NA,0.7437570107464567,0.7506036096266673,16_s1_m1_r3_Kedougou_-12.125_12.625,1
poly,0.7654128390681936,0.7638795896503386,62.12547935728044,499.20960683554426,4.534700517018668e-97,2,-1712.8539436546573,3433.7078873093146,3448.6412524169054,1181030.0067237949,306,309,NA,NA,0.8165045104758795,0.81830627919525,16_s1_m1_r3_Kedougou_-12.125_12.625,1
step,0.7704736982318218,0.7659135730311295,61.8573206297183,168.9588913293113,2.120431789581541e-93,6,-1709.4843635991178,3434.9687271982357,3464.8354574134178,1155551.0908773076,302,309,NA,NA,0.8214788148644014,0.8311773928595054,16_s1_m1_r3_Kedougou_-12.125_12.625,1
